Region,Formation,Member,AgeEnd,AgeEarly,Supporting References,Notes,Other age details or opinions,Correlation,Other opinions on correlations
Florida,Tamiami,Pinecrest Sand,2.2,3.5,"Allmon et al (1996a); Jones et al (1991); Cronin et al (1984); Lyons (1991); Missimer (2001a,b); Missimer and Wise (2012)","Beds sensu Petuch (1982) and modified by Zullo and Harris (1992); Zullo and Harris (1992) placed Petuch's Unit 0 and 1 in the Caloosahatchee Frm, and Units 2 through 9 in the upper Tamiami Frm. The authors also subdivided the units into the upper Pinecrest Beds (Units 2 and 3) and lower Pinecrest Beds (Units 4 through 9). Petuch's Unit 10 and 11 were placed into the lower Tamiami Formation. *Indicates these units are no longer included in the Pinecrest (Unit 10 and 11) (Portell et al 2012). ","Bender (1972, 1973) found a date of 3.9-3.5 Ma for the Pinecrest, but the location within the section was not specified. Cronin (1991) cited that the entire Pinecrest spans from 4.5-1.8 Ma. The older dates cited by these authors probably reflect the fact that the authors included lower units (Units 10 and 11) in their estimation, which are now removed from the Pinecrest sensu Zullo and Harris (1992). Campbell and Campbell (1995) cited an age of 3.0-2.8 Ma for Beds 3-1; Allmon et al (1996a,b) cited a slightly younger top age of 2.5-2.0 Ma (Matuyama Chron). Cronin (1991) indicated an age of 3.5-3.0 Ma for Beds 10-5. Campbell and Campbell (1995) cited an age of 3.3-3.1 Ma for the ""middle beds"" of the Pinecrest. Knowles et al (2009) and Williams et al (2009) have the Pinecrest Beds 10-5 at ~3.7-3.5 Ma. Knowles et al (2009) and Williams et al (2009) placed beds 11-10 at 4.2-3.9 Ma, suggesting the authors did not revise the age of interval zone M6. Campbell and Campbell (2005) placed the age at 3.75-3.55 Ma for Bed 10 (= Bed 11?). Missimer (2001a) indicated the ""Pinecrest"" is 3.22-2.15 Ma; however, when Beds 10 and 11 are removed from traditional definitions of the ""Pinecrest"", this age range seems to match the ages of the sequences fairly well; Missimer and Wise (2012) indicated the Pinecrest is 3-2 Ma.","Units 4-2, the ""upper Pinecrest,"" are correlated with the Chowan River Frm (VA and Carolinas) (Jones et al 1991; Dowsett and Cronin 1996; Williams et al 2009). Units 10-5 are correlated with the Duplin Frm (NC and SC), Raysor Frm (GA) and Jackson Bluff Frm (Florida Panhandle) (Dowsett and Cronin 1990); the ""lower Pinecrest"" correlated with the  Duplin and Raysor Frms (NC, SC, and GA) and Rushmere, Morgarts Beach and Moore House Members of the Yorktown Frm (Cronin 1991); correlated with the lower and upper Yorktown of VA and NC (Lyons 1991) [in this report correlated primarily with the upper]; lower Pinecrest correlated with the Jackson Bluff, Duplin, and Raysor Frms, and the Rushmere and Morgarts Beach Members of the Yorktown Frm (Allmon et al 1996a); lower Tamiami and lower Pinecrest Beds correlated with the Jackson Bluff Frm (Zullo and Harris 1992; Zullo and Portell 1993).","This compilation does not differentiate units within members. However, EES previously ascribed the following age ranges: 2.2-2.5 Ma for units 4-2, 3.5-2.6 Ma for units 10-5, 3.8-4 Ma for units 11 and 11, 3.2-2.2 for undifferentiated Pinecrest Sand."
Florida,Intracoastal,,2.6,5.54,Huddlestun (pers comm 2013),"The distinction between the Jackson Bluff and Intracoastal Frms is not always clear, although Portell (pers comm 2013) indicated the units can be easily distinguished because the Jackson Bluff Frm is primarily of clastic lithologically, while the Intracoastal Frm is primarily carbonate. Scott (2011) indicated the Intracoastal Frm is above the Jackson Bluff Frm in his stratigraphic chart, but Schmidt and Clark (1980) and Otvos (1988) indicated the unit underlies or interfingers with the Jackson Bluff Frm, and Means (pers comm 2013) confirmed this relationship for at least a pit just north of Carrabelle. Means and Portell (pers comm 2013) have never seen the Intracoastal overlying the Jackson Bluff Frm. Huddlestun (pers comm 2013), however, suggested the Intracoastal, Jackson Bluff, Citronelle, and Miccosukee Frms are all correlative: the Citronelle/Miccosukee Frms are a shore/shoreface deposit or lithofacies, whereas the Jackson Bluff Frm is an offshore, shelf bottom deposit or lithofacies. The Intracoastal Frm represents a farther offshore deposit or lithofacies where only minor siliciclastics are present but may dominate in some beds (the siliciclastics having been deposited closer to shore). According to Huddlestun (pers comm 2013), the Jackson Bluff Frm is fully encompassed within the Intracoastal Frm. ","The age cited for the Frm is variable: unit has been cited as Miocene and as young as 1.6 Ma. Donoghue (1992), Locker and Doyle (1992), and Scott (1992) cited a Middle Miocene to Late Pliocene age for the unit [Donoghue (1992) indicated the Chipola Frm sits above the Intracoastal Frm, but this relationship does not match most other publications, which placed the Chipola Frm in the Middle Miocene. Portell (pers comm 2013) indicated no cores or exposures are found where the Intracoastal Frm sits below the Chipola Frm. Rupert (1990) indicated that ""Chipola-like"" sediments are found above the Intracoastal Frm in Gulf County, which may be the root of some of the confusion]. Others suggest a significantly younger age; e.g., Clark and Wright (1979) placed the unit within the Globorotalia margaritae zone and the older G. fohsi fohsi zone, which represent an age of 4.4-3.8 Ma for the G. margaritae zone in the updated Berggren Zone scheme of Wade et al (2011). Otvos (1998) cited a younger top age of 1.6 Ma, as did Scott (2011), who indicated the Frm is within zone PL3-5 (~3.8-2.2). Huddlestun (pers comm 2013) indicated the Frm is in zone PL1-PL4 to PL5.","In downdip direction, the Frm partly underlies and laterally interfingers with the Jackson Bluff Frm (Otvos 1988); Huddlestun (pers comm 2013) indicated the Miccosukee, Citronelle, Jackson Bluff, Cypresshead and Intracoastal Frms are time equivalents.",
Florida,Jackson Bluff,,2.6,3.8,Otvos (1992); Markewich et al (1992); Otvos (1998); Otvos (2009); Kolbe et al (2011); Huddlestun (pers comm 2013),"Otvos (1988, 1992) cited the Perdido Key Frm as being correlative with the Jackson Bluff and Intracoastal Frms, but the Perdido Key Frm is not recognized by the Florida Geological Survey (Means, pers comm 2013); Huddlestun (pers comm 2013) indicated he has no reasonable evidence that the Citronelle, Miccosukee, and Jackson Bluff Frms are anything but lithofacies of one depositional event: the Citronelle/Miccosukee Frms are a shore/shoreface deposit or lithofacies, whereas the Jackson Bluff Frm is an offshore, shelf bottom deposit or lithofacies. The Intracoastal Frm represents a farther offshore deposit or lithofacies where only minor siliciclastics are present but may dominate in some beds (the siliciclastics having been deposited closer to shore). According to Huddlestun, the Jackson Bluff Frm is fully encompassed within the Intracoastal Frm, which represents a new relationship from previously-cited literature. ","The unit is cited as within zones: N18-19 (Akers 1972; Otvos 1992), N20 (Otvos 1988), N19-21 or PL3-PL5 (Otvos 1998); Huddlestun (pers comm 2013) indicated Frm is overwhelmingly within zone PL3 and slightly into PL4 in Washington County. Markewich et al (1992) cited age from ~3.5-3 Ma, but the slight difference from the age here probably reflects changes in Berggren Zones; age here differs from Scott (2011), who indicated base age of 5.3 Ma.","Equivalent wholly or in part to Duplin and Raysor Frms, and to the Rushmere Member of the Yorktown Frm in southeastern VA and northeastern NC (Markewich et al 1992); correlated with the lower Pinecrest Beds, Duplin Marl, Raysor Marl, Rushmere and Morgarts Beach Members of the Yorktown Frm (Allmon et al 1996a); Huddlestun (pers comm 2013) indicated Miccosukee, Citronelle, Jackson Bluff, Cypresshead and Intracoastal Frms are time equivalents.","Campbell et al (2011) indicated the lower Jackson Bluff Frm is correlated with the lower Goose Creek Limestone of SC, Unit 3 of the Yorktown, and the Tamiami Limestone by a Leptopecten unit (Early Pliocene); however, in this compilation, the Jackson Bluff Frm is correlated with the upper Goose Creek, not the lower, and the Tamiami Limestone is below the Jackson Bluff Frm. "
Florida,Miccosukee,,2.6,3.3,Cooke and Mossom (1929); Otvos (1998),"Found in E and Citronelle to W; Miccosukee Frm is more clayey; the transition between these two units occurs around central Gladson County (Means, pers comm 2013); unit could be a member or facies of the Citronelle Frm. Huddlestun (pers comm 2013) indicated he has no reasonable evidence that the Citronelle, Miccosukee, and Jackson Bluff Frms are anything but lithofacies of one depositional event: the Citronelle/Miccosukee Frms are a shore/shoreface deposit or lithofacies, whereas the Jackson Bluff Frm is an offshore, shelf bottom deposit or lithofacies. The Intracoastal Frm represents a farther offshore deposit or lithofacies, where only minor siliciclastics are present but may dominate in some beds (the siliciclastics having been deposited closer to shore).","Age is uncertain, as deposit is fairly unfossiliferous; age range is thus an estimate and inferred from stratigraphic position; Kolbe et al (2011) indicated a slightly younger age for both the Citronelle and Miccosukee Frms (2.4-1.7 Ma).","Considered time-equivalent of Cypresshead Frm (GA) and correlated in part with Nashua Frm in NE Florida (Huddlestun 1988); time equivalent with Citronelle Frm (Rupert 1990; Otvos 1988, 1998); Huddlestun (pers comm 2013) indicated Miccosukee, Citronelle, Jackson Bluff, Cypresshead and Intracoastal Frms are time equivalents.","Note that in this compilation, the Miccosukee Frm is only partially correlated with the Cypresshead Frm. "
Florida,Perdido Key,,2.6,3.3,Otvos 1988,,"See notes in this compilation for Citronelle, Jackson Bluff, and Intracoastal fms. Otvos split these and the Perdido Key, but as with other units by the same author, subsequent workers have established that the units are lithofacies and do not represent chronological units. The age of the Perdido is constrained by observed foram similarity (and hypothesized equivalency) to Jackson Bluff, and relationship above Pensacola fm. ",,
Florida,Tamiami,Ochopee ,3.62,3.83,Cunningham et al (2001),"The Ochopee Limestone is present in southern Florida; an undifferentiated sand lies above it, which is probably equivalent to the Long Key Frm of the Keys or the Pinecrest Beds (Cunningham et al 2001); Hunter (1968) suggested that the Pinecrest Sand, Ochopee Limestone and Buckingham Limestone were lateral equivalents, but Missimer (1992) indicated that the unit consisted of at least 9 mappable facies. Portell (pers comm 2013) indicated the Ochopee and Pinecrest appear time-equivalent based on the molluscan assemblages. ","Petuch and Roberts (2007) placed the Ochopee Limestone as younger than 3.6 Ma and equivalent to the Pinecrest Beds. Conversely, Missimer (1990) and others cited the Ochopee Limestone as older than the Pinecrest Beds.","Former Beds 10 and 11 of the Pinecrest are probably equivalent in age to the Ochopee Limestone (Waldrup and Wilson 1990; Lyons 1991; Zullo and Harris 1992), but Waller (1996) indicated that the Ochopee Limestone might be older than Bed 11 based on Chesapecten relationships; the ""Tamiami Limestone"" was correlated with the lower Goose Creek Limestone (SC), Unit 3 of the Yorktown and the lower Jackson Bluff Frm on the basis of a Lectopecten unit (Campbell et al 2011).",
Florida,Tamiami,Buckingham,3.8,4.3,Missimer (1990),"Missimer (1990, 1992) indicated that the Buckingham Limestone is the lowermost facies of around 9 total facies and is probably equivalent in age to the clay and sand facies; however, Hunter (1968) suggested that the Pinecrest Sand, Ochopee Limestone and Buckingham Limestone are lateral equivalents.  ",,,
Florida,Tamiami,Tamiami equivalent,3.8,4,Portell (pers comm 2013),"Quarries in Palatka are known to contain Tamiami-aged fossils (mostly Encope tamiamiensis); whether the unit below the Nashua Frm at this site is lithologically the Tamiami Frm has not yet been confirmed (Portell, pers comm 2013); Kolbe et al (2011) included the Tamiami Frm as a unit below the Cypresshead/Nashua Frms in NE Florida, but this has not been confirmed by the Florida Geological Survey.  ",,,
Florida,Wabasso Beds,Undifferentiated,4.3,5.5,Huddlestun (1988); Markewich et al (1992),"The Wabasso Beds is an informal name applied to lower Pliocene, phosphatic, calcareous, and microfossiliferous, variably argillaceous, silty, fine-grained to very fine grained sand in the subsurface of the coastal area of GA, southern SC, and eastern FL (Huddlestun 1988); Scott (2001) indicated the Wabasso Beds are also within the Peace River Frm in S Florida, but that they do not outcrop at the surface. The Wabasso Beds were treated as formational rank by Krantz (1991), but there seems to be no evidence for this, although Huddlestun (pers comm 2013) would like to see them formalized.",The unit belongs within zone PL1 or N-18 (Huddlestun 1988); the unit is no older than 5.7 Ma and no younger than 4.2-4.0 Ma (Markewich et al 1992).,The unit is probably time equivalent to the Sunken Meadow Member of the Yorktown Frm in SE VA and NE NC.,"Krantz (1991) indicated the lower Duplin Frm is time equivalent with the Sunken Meadow Member of the Yorktown Frm and the Wabasso Beds, but this is not supported in this compilation; here, the Duplin Frm is younger than the Wabasso Beds and the Sunken Meadow Member. "
Florida,Peace River Formation ,,4.5,11,Emslie and Morgan (1994); McCartan et al (1995); Missimer (1999); Guertin et al (2000); Kolbe et al (2011),"The unconformity between the Peace River Frm and the overlying Tamiami Frm is likely only 0.2 Ma (Missimer 1999), and deposition may have stopped as late as 4.3 Ma (not 4.5 Ma), an age which Guertin et al (2000) also cited.",,,
Florida,Murdock Station,,3.5,4.5,"Campbell 2005, Williams et al. 2009",,"Murdock Station has been revised many times. It was originally Petuch's unit 11 of the Tamiami formation (the lowermost unit). It is equivalent to the Sarasota, which was subsumed into the Pinecrest. The USGS notes that the Murdock Station sediments are now included in Peace River Formation of Hawthorn Group. The Peace River has an upper bound of 4.5 Ma in this compilation. Campbell 2005 dated unit 10, possibly including unit 11, at 3.55-3.75 Ma. Williams et al. 2009 dated beds 10-11 at 3.9-1.2 Ma.",,
Florida,Shoal River,,12.5,15,Jones et al 1993,,"Jones et al 1993 dated shell samples from FL and got dates of 12.5 and 12.7 (or even earlier with Dallick or Hodell's equations). Huddleston 1988 assigned a Serravallian age; foram zones N9-N12. Miller et al 1997 calibrated the range of N9 as ca. 14.8-15.2 Ma, which would thus be a lower bound for the unit's age.",Coosawhatchie fm correlates with lower Shoal River fm (FL) (Scott 1988). ,
